"","ID","Surname","Given","IntlWW40","IntlWW50","IntlWW60"
"323","ICUS0323","Chugthai","Muhammad Izazud Din",NA,NA,NA
"324","ICUS0324","Chukbar","Konstantin V.",NA,NA,NA
"325","ICUS0325","Chuke","Paul Okwudili",NA,NA,NA
"326","ICUS0326","Chun","Ok-Whan",NA,NA,NA
"327","ICUS0327","Churchman","Charles West",NA,NA,NA
"328","ICUS0328","Cicerone","Ralph John",NA,NA,NA
"329","ICUS0329","Ciereszko","Leon Stanley",NA,NA,NA
"330","ICUS0330","Clark","Francis",NA,NA,NA
"331","ICUS0331","Clarke","William Norris",NA,NA,NA
"332","ICUS0332","Clarnette","Warren",NA,NA,NA
"333","ICUS0333","Clawson","Robert Marion",NA,NA,NA
"334","ICUS0334","Clesse","Armand",NA,NA,NA
"335","ICUS0335","Clube","Stace Victor Murray",NA,NA,NA
"336","ICUS0336","Coates","Joseph Francis",NA,NA,NA
"337","ICUS0337","Coates","Vary T.",NA,NA,NA
"338","ICUS0338","Coe","Kathryn",NA,NA,NA
"339","ICUS0339","Coe","Richard M.",NA,NA,NA
"340","ICUS0340","Friedrich-Cofer","Lynette",NA,NA,NA
"341","ICUS0341","Cogswell","Betty E.",NA,NA,NA
"342","ICUS0342","Cohen","Bernard Leonard",NA,NA,NA
"343","ICUS0343","Cohen","Jerry J.",NA,NA,NA
"344","ICUS0344","Cohen","Karl P.",NA,NA,NA
"345","ICUS0345","Cohen","Mark Nathan",NA,NA,NA
"346","ICUS0346","Cohn-Sherbok","Dan",NA,NA,"B1945-02-01"
"347","ICUS0347","Colander","David Charles",NA,NA,NA
"348","ICUS0348","Colavito","Maria Maddalena",NA,NA,NA
"349","ICUS0349","Coleman","James Samuel","B1926-05-12","B1926-05-12",NA
"350","ICUS0350","Collinson","John",NA,NA,NA
"351","ICUS0351","Comănescu","Dan Cristian",NA,NA,NA
"352","ICUS0352","Constandse","Adriaan Kees",NA,NA,NA
"353","ICUS0353","Cook","Stephen L.",NA,NA,NA
"354","ICUS0354","Cooke","Brett",NA,NA,NA
"355","ICUS0355","Cooper","James",NA,NA,NA
"356","ICUS0356","Cooper","John W.",NA,NA,NA
"357","ICUS0357","Cooper","Leon Neil","B1930-02-28","B1930-02-28","B1930-02-28"
"358","ICUS0358","Copleston","Frederick Charles",NA,"B1907-04-10",NA
"359","ICUS0359","Cori","Carl Ferdinand","B1896-12-05",NA,NA
"360","ICUS0360","Corson","Samuel Abraham",NA,NA,NA
"361","ICUS0361","Cosijn","Gustaat P.A.",NA,NA,NA
"362","ICUS0362","Costa","Rubens Vaz da",NA,NA,NA
"363","ICUS0363","Coughlan","Michael J.",NA,NA,NA
"364","ICUS0364","Coulomb","Jean","B1904-11-07","B1904-11-07","B1904-11-07"
"365","ICUS0365","Cournand","André Frédréric","B1895-09-24","B1895-09-24",NA
"366","ICUS0366","Courtney","Charles",NA,NA,NA
"367","ICUS0367","Cousineau Brutsche","Diane",NA,NA,NA
"368","ICUS0368","Cousins","Ewert Hilary",NA,NA,NA
"369","ICUS0369","Covian","Miguel Rolando",NA,NA,NA
"370","ICUS0370","Covian","Roberto C.",NA,NA,NA
"371","ICUS0371","Cowan","James W.",NA,NA,NA
"372","ICUS0372","Cowan","Thomas Anthony",NA,NA,NA
"373","ICUS0373","Cowen","Zelman",NA,"B1919-10-07","B1919-10-07"
"374","ICUS0374","Cox","Gary",NA,NA,NA
"375","ICUS0375","Cragg","Albert Kenneth",NA,NA,NA
"376","ICUS0376","Crawford","S. Cromwell",NA,NA,NA
"377","ICUS0377","Crawford Jr.","Bryce Low","B1914-11-27","B1914-11-27","B1914-11-27"
"378","ICUS0378","Christian","Jane M.",NA,NA,NA
"379","ICUS0379","Criswell","David R.",NA,NA,NA
"380","ICUS0380","Crombie","Alistair Cameron",NA,NA,NA
"381","ICUS0381","Cromwell","Norman H.",NA,NA,NA
"382","ICUS0382","Crosson","Frederick James",NA,NA,NA
"383","ICUS0383","Crosthwaite","Roger",NA,NA,NA
"384","ICUS0384","Csányi","Vilmos",NA,NA,NA
"385","ICUS0385","Cuadra","Héctor",NA,NA,NA
"386","ICUS0386","Cummings","Leslie P.",NA,NA,NA
"387","ICUS0387","Cummings","William K.",NA,NA,NA
"388","ICUS0388","Curzon-Price","Victoria",NA,NA,NA
"389","ICUS0389","da Fonseca","José Simões",NA,NA,NA
"390","ICUS0390","Dagum","Camilo",NA,NA,NA
"391","ICUS0391","Dahl","Helmer H.",NA,NA,NA
"392","ICUS0392","Dalisay","Amando M.",NA,NA,NA
"393","ICUS0393","Damman","Sigrid",NA,NA,NA
"394","ICUS0394","Danaraj","T. J.",NA,NA,NA
"395","ICUS0395","Danielli","James Frederic",NA,NA,NA
"396","ICUS0396","D'Antonio","William V.",NA,NA,NA
"397","ICUS0397","Daudel","Raymond",NA,NA,NA
"398","ICUS0398","Daugs","Donald Roger",NA,NA,NA
"399","ICUS0399","Dave","Ravindra",NA,NA,NA
"400","ICUS0400","David","Henry",NA,NA,NA
"401","ICUS0401","David","William",NA,NA,NA
"402","ICUS0402","Davies","Christie",NA,NA,NA
"403","ICUS0403","Davies","David Arthur","B1913-11-11","B1913-11-11",NA
"404","ICUS0404","Davies","P.M.C.",NA,NA,NA
"405","ICUS0405","Davis","George Kelso",NA,NA,"B1910-07-02"
"406","ICUS0406","Dawe","Donald G.",NA,NA,NA
"407","ICUS0407","Dayton","Donald W.",NA,NA,NA
"408","ICUS0408","Wanderley","Milton de Barros",NA,NA,NA
"409","ICUS0409","De Benedetti","Sergio",NA,NA,NA
"410","ICUS0410","de Bie","Pierre",NA,NA,NA
"411","ICUS0411","DeClaris","Nicholas",NA,NA,NA
"412","ICUS0412","de Duve","Christian René","B1917-10-02","B1917-10-02","B1917-10-02"
"413","ICUS0413","Gaudeau","Claude",NA,NA,NA
"414","ICUS0414","De Jasay","Anthony",NA,NA,NA
"415","ICUS0415","Jouvenel","Hugues de",NA,NA,NA
"416","ICUS0416","de la Tijera","Eduardo",NA,NA,NA
"417","ICUS0417","Torre","Armando de la",NA,NA,NA
"418","ICUS0418","DeLannoy","Jean-Louis",NA,NA,NA
"419","ICUS0419","De Ment","Jack A.",NA,NA,NA
"420","ICUS0420","de Nicolas","Antonio T.",NA,NA,NA
"421","ICUS0421","de Reuck","Anthony Vivian Smith",NA,NA,NA
"422","ICUS0422","de Reuck","K. Marjorie",NA,NA,NA
"423","ICUS0423","De Silva","Padmasiri",NA,NA,NA
"424","ICUS0424","De Alessi","Louis",NA,NA,NA
"425","ICUS0425","Deepak","Adarsh",NA,NA,NA
"426","ICUS0426","Batlle","Alcira María del Carmen",NA,NA,NA
"427","ICUS0427","Campo Urbano","Salustiano del",NA,NA,NA
"428","ICUS0428","Delchev","Yavor",NA,NA,NA
"429","ICUS0429","Delgado","José Manuel Rodríguez",NA,NA,NA
"430","ICUS0430","Demeny","Paul George",NA,NA,NA
"431","ICUS0431","Dengler","Roman",NA,NA,NA
"432","ICUS0432","Denhardt","Robert",NA,NA,NA
"433","ICUS0433","Denman","Donald Robert",NA,NA,NA
"434","ICUS0434","DePaula","Geraldine",NA,NA,NA
"435","ICUS0435","DePryck","Koen",NA,NA,NA
"436","ICUS0436","Deshpande","B.G.",NA,NA,NA
"437","ICUS0437","Deutsch","Eliot",NA,NA,NA
"438","ICUS0438","Deutsch","Morton",NA,NA,NA
"439","ICUS0439","Dewan","Madan Lal",NA,NA,NA
"440","ICUS0440","Dickson","Kwesi Abotsia",NA,NA,NA
